Year,COUNTRY,REGION,CATEGORY,,,,
2016,Afghanistan,,Hostage,,,,
2016,Iraq,Asia,Unknown,,,,
2016,Yemen,Asia,Explosion,,,,
2016,Syria,Asia,Explosion,,,,
2016,Iraq,Asia,Unknown,,,,
2016,Yemen,Asia,Explosion,,,,
2016,Iraq,Asia,Explosion,,,,
2016,Iraq,Asia,Unknown,,,,
2016,Syria,Asia,Unknown,,,,
2016,Iraq,Asia,Unknown,,,,
2016,Turkey,Asia,Explosion,,,,
2016,Turkey,Asia,Explosion,,,,
2016,Iraq,Asia,Explosion,,,,
2016,Turkey,Asia,Explosion,,,,
2016,Afghanistan,Asia,"Assault,Explosion",,,,
2016,Israel,Asia,Explosion,,,,
2016,Turkey,Asia,Explosion,,,,
2016,Pakistan,Asia,Explosion,,,,
2016,Yemen,Asia,Explosion,,,,
2016,Iraq,Asia,Explosion,,,,
2016,Belgium,Europe,Explosion,,,,
2016,Egypt,Africa,Unknown,,,,
2016,Turkey,Asia,Explosion,,,,
2016,Nigeria,Africa,Explosion,,,,
2016,Pakistan,Asia,Explosion,,,,
2016,Turkey,Asia,"Assault,Explosion",,,,
2016,Cote D'Ivoire (Ivory Coast),Africa,Assault,,,,
2016,Israel,Asia,Assault,,,,
2016,Tunisia,Africa,Unknown,,,,
2016,Iraq,Asia,Explosion,,,,
2016,Somalia,Africa,"Assault,Explosion",,,,
2016,Syria,,Explosion,,,,
2016,Syria,Asia,Explosion,,,,
2016,Turkey,Asia,Explosion,,,,
2016,Turkey,Asia,Explosion,,,,
2016,United States,Americas,Unknown,,,,
2016,Iraq,,Assault,,,,
2016,Somalia,,Explosion,,,,
2016,Afghanistan,Asia,Explosion,,,,
2016,Syria,Asia,Explosion,,,,
2016,Nigeria,Africa,Unknown,,,,
2016,Iraq,Asia,Explosion,,,,
2016,Cameroon,Africa,Explosion,,,,
2016,Somalia,,Explosion,,,,
2016,Pakistan,Asia,Assault,,,,
2016,Syria,Asia,Explosion,,,,
2016,Burkina Faso,Africa,"Assault,Hostage",,,,
2016,Somalia,,Unknown,,,,
2016,Indonesia,Asia,"Assault,Explosion",,,,
2016,Pakistan,Asia,Explosion,,,,
2016,Turkey,Asia,Explosion,,,,
2016,Iraq,Asia,"Assault,Explosion,Hostage",,,,
2016,Iraq,Asia,Explosion,,,,
2016,Egypt,Africa,Assault,,,,
2016,Libya,,Explosion,,,,
2016,United States,Americas,Assault,,,,
2016,France,,Assault,,,,
2016,India,Asia,Assault,,,,
2016,Israel,Asia,Assault,,,,
2013,Lebanon,Asia,Explosion,,,,
2013,Iraq,Asia,Explosion,,,,
2013,Yemen,Asia,"Assault,Explosion",,,,
2013,China,Asia,Unknown,,,,
2013,India,Asia,Explosion,,,,
2013,Kenya,Africa,"Assault,Explosion",,,,
2013,Afghanistan,Asia,"Assault,Explosion",,,,
2013,Philippines,Asia,Unknown,,,,
2013,Syria,Asia,Unknown,,,,
2013,Somalia,Africa,Explosion,,,,
2013,Colombia,Americas,Hostage,,,,
2013,United Kingdom,Europe,Explosion,,,,
2013,Nigeria,Africa,Assault,,,,
2013,Iraq,,"Assault,Explosion",,,,
2013,United Kingdom,Europe,Explosion,,,,
2013,Afghanistan,Asia,Unknown,,,,
2013,Pakistan,Asia,Unknown,,,,
2013,Pakistan,Asia,"Assault,Explosion",,,,
2013,United Kingdom,Europe,Explosion,,,,
2013,Somalia,Africa,"Assault,Explosion",,,,
2013,Pakistan,Asia,Explosion,,,,
2013,Iraq,,Unknown,,,,
2013,Iraq,,Explosion,,,,
2013,India,Asia,Hostage,,,,
2013,United Kingdom,Europe,Assault,,,,
2013,Iraq,,"Assault,Explosion",,,,
2013,United Kingdom,Europe,"Assault,Explosion",,,,
2013,Iraq,,Unknown,,,,
2013,India,,Explosion,,,,
2013,United States,Americas,Explosion,,,,
2013,Iraq,,Explosion,,,,
2013,Mali,Africa,Explosion,,,,
2013,Iraq,,"Assault,Explosion",,,,
2013,Nigeria,Africa,Explosion,,,,
2013,India,Asia,Assault,,,,
2013,Iraq,Asia,Assault,,,,
2013,Pakistan,Asia,Explosion,,,,
2013,India,Asia,Explosion,,,,
2013,Syria,Asia,Explosion,,,,
2013,Pakistan,Asia,Explosion,,,,
2013,Turkey,Asia,Explosion,,,,
2013,Algeria,Africa,"Assault,Hostage",,,,
2013,Syria,Asia,Explosion,,,,
2013,Pakistan,Asia,Explosion,,,,
2012,Nigeria,Africa,Unknown,,,,
2012,Nigeria,Africa,Assault,,,,
2012,Israel,Asia,Explosion,,,,
2012,Lebanon,Asia,Explosion,,,,
2012,Libya,,Unknown,,,,
2012,Iraq,,"Assault,Explosion",,,,
2012,Turkey,Asia,Explosion,,,,
2012,Iraq,,Explosion,,,,
2012,Nigeria,Africa,Assault,,,,
2012,Egypt,,Unknown,,,,
2012,India,Asia,Explosion,,,,
2012,Iraq,,"Assault,Explosion",,,,
2012,Syria,Asia,Explosion,,,,
2012,Bulgaria,Europe,Explosion,,,,
2012,China,Asia,Explosion,,,,
2012,Iraq,,"Assault,Explosion",,,,
2012,Yemen,Asia,Explosion,,,,
