DATE,COUNTRY,STATE,CITY,SUBREGION,REGION,PERPETRATOR,INJURED,DEAD,DESCRIPTION,COORDINATES,CATEGORY,Year
5/12/2017,Pakistan,Balochistan,Mastung,Southern Asia,Asia,Islamic State,37,28,28 people were killed and 37 were injured when a suicide bomber blew himself up in Pakistan's city of Mastung. ,"29.800043,66.8500394",Explosion,2017
5/9/2017,Thailand,Pattani,,South-Eastern Asia,Asia,Barisan Revolusi Nasional,60,1,Sixty people were confirmed injured when 2 bombs went off at Big C Supercenter in Muang district. A canvas vendor was killed before his truck was stolen to be used as the bomb delivery system. ,"6.8680798,101.253623",Explosion,2017
5/8/2017,Pakistan,Khyber Pakhtunkhwa,Peshawar,Southern Asia,Asia,,4,0,"Two bombs exploded in Peshawar while the third 1 was defused by Bomb Disposal Squad. Three officials of Counter Terrorism Department (CTD) were injured. Beside CTD officials, a passerby was also injured. ","34.0123846,71.5787458",Explosion,2017
4/24/2017,India,Chhattisgarh,,Southern Asia,Asia,CPI,7,25,"Suspected Maoist rebels ambushed a group of Central Reserve Police Force officers who were guarding road workers in the Sukma district of Chhattisgarh. At least 25 CRPF soldiers were killed and 7 others were critically injured in the attack, which was 1 of the deadliest in recent years. Maoists killed 11 soldiers in a similar ambush in the same district at the beginning of March. ","21.6637359,81.8406351",,2017
4/21/2017,Afghanistan,Balkh,,Southern Asia,Asia,Taliban,160,256,Attack of military base by Taliban insurgents in northern Afghanistan killed 250 Afghan soldiers. More than 160 were also injured. ,"36.7581256,66.8980826",,2017
4/20/2017,France,Île-de-France,Paris,Western Europe,Europe,Islamic State,3,1,"One police officer was killed, 2 others and a woman injured in a shooting in the Champs lysees area of Paris. One of the 2 gunmen was killed in the attack. Islamic State claimed responsibility for the attack. ","48.8588897,2.3200410217200766",Assault,2017
4/15/2017,Syria,Aleppo Governorate,Aleppo,Western Asia,Asia,,100,126,"A strong explosion occurred in a district of Aleppo. According to provisional data, a motor bomb had exploded. The blast killed more than 126 people. ","36.19924,37.1637253",Explosion,2017
4/14/2017,Israel,Jerusalem District,Jerusalem,Western Asia,Asia,Palestinian Nationalist,2,1,A Palestinian terrorist stabbed a British student in the Jerusalem Light Rail near to the Tzahal square and killed her. ,"31.7788242,35.2257626",Assault,2017
4/9/2017,Egypt,,,Northern Africa,Africa,Islamic State,70,30,"30 people were killed and at least 70 were injured in an explosion in a Coptic Church in Tanta, Egypt. Initial investigations show the terrorist blew himself up during the church's Palm Sunday services, causing mass destruction at the scene. Near a police station, there was also an attack. ","26.2540493,29.2675469",Explosion,2017
4/9/2017,Egypt,Alexandria Governorate,Alexandria,Northern Africa,Africa,Islamic State,66,17,A suicide bomber has detonated an explosion outside Saint Mark's Church in Alexandria's Manshyia district. 16 persons were killed and 66 others were injured. There was also an explosion in Chouhada Street in Alexandria. ,"31.199004,29.894378",Explosion,2017
